log_pl_id, uid, eid, log_ts, gid, cid, vid, client_ip, pl_detail, cd_id, sessionid, client_ts, host_domain, referrer_host, referrer_path, multiplayer_seqid
825, 89DB02E5-9D2B-447F-0843-C443314BC8A7, 0, 1653344817, 202207, 2, 1, 172.92.180.85, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36"}, 0, 355845FE-A96D-7FD9-B835-F29EBD5B1A59, 1653347284974, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
826, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 0, 1653344843, 202207, 2, 1, 76.22.117.197, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.67 Safari\/537.36"}, 0, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 1653347311438, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
827, BAB22DA1-A185-B895-057A-C52E7719C98B, 0, 1653345070, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit\/605.1.15 (KHTML, like Gecko) Version\/13.1.2 Safari\/605.1.15"}, 0, 60C39095-15B9-5EB2-0737-1C2B3B89601D, 1653347537579, NULL, v6p9d9t4.ssl.hwcdn.net, /html/5841321/bin/index.html, 0
828, E0E40695-B927-7E6C-453F-BED0BD053637, 0, 1653345095, 202207, 2, 1, 82.27.242.148, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko\/20100101 Firefox\/94.0"}, 0, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653347562398, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
829, FB619723-DD6A-6CFE-12B6-4ACDEFEB1EA4, 0, 1653345566, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (X11; CrOS x86_64 14268.67.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/96.0.4664.111 Safari\/537.36"}, 0, B3610CD3-6B72-4EF1-DC14-521E92BE699E, 1653348034126, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
830, FB619723-DD6A-6CFE-12B6-4ACDEFEB1EA4, 0, 1653346046, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (X11; CrOS x86_64 14268.67.0) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/96.0.4664.111 Safari\/537.36"}, 0, AE251F0E-A086-5C1B-8F43-AF899B11CE27, 1653348513312, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
831, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 0, 1653346504, 202207, 2, 1, 76.22.117.197, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.67 Safari\/537.36"}, 0, 8659AB06-67B8-A02C-A11C-6B26441CE68C, 1653348972198, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
832, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 0, 1653347773, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/98.0.4758.102 Safari\/537.36"}, 0, 3F1F1DE1-6A1D-1593-0074-29DB3B42ED84, 1653350240595, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
833, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 0, 1653347903, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/98.0.4758.102 Safari\/537.36"}, 0, DA349077-2B26-1C5D-775C-E27CB0A77586, 1653350370836, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
834, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 0, 1653348043, 202207, 2, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/98.0.4758.102 Safari\/537.36"}, 0, F8C8A503-98E1-5764-962B-6B232F08EB11, 1653350510559, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
