log_q_id, qid, log_q_ts, uid, gid, vid, cid, dqid, parent_dqid, q_detail, ae_seq_id, q_s_id, g_s_id, tid, cd_id, quest_seqid, qaction_seqid, session_seqid, sessionid, client_ts, foreign_game_id, multiplayer_seqid, quest_hash
4672, 2, 1653347745, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 202207, 1, 2, 7D1A1F9D-A050-8BAB-F46C-6C5FEE5B4953, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 116, 450, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 1653347744857, 0, 0, NULL
4673, 2, 1653347760, 27B8F863-01B9-435A-DCD0-6888F690B6FB, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 117, 452, 9126AD1B-971C-C3AF-4E2C-F1C3DEA4EBD4, 1653347760136, 0, 0, NULL
4674, 1, 1653347849, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 3E51706E-3065-E7C4-0EE1-9F086397A573, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 241, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653347848881, 0, 0, NULL
4675, 1, 1653347854, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 3E51706E-3065-E7C4-0EE1-9F086397A573, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 243, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653347853676, 0, 0, NULL
4676, 2, 1653347857, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 24E6CE0A-5276-D8AE-8D10-9142ECFFDFC2, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 245, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653347856077, 0, 0, NULL
4677, 2, 1653348447, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 24E6CE0A-5276-D8AE-8D10-9142ECFFDFC2, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 145, 389, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348445917, 0, 0, NULL
4678, 2, 1653348453, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 146, 391, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348452669, 0, 0, NULL
4679, 1, 1653348455, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, A1CE6E22-3A07-3F9D-F494-2CFD00B44E3A, NULL, NULL, NULL, 1, 1, 1, 0, 3, 1, 393, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348454258, 0, 0, NULL
4680, 1, 1653348459, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, A1CE6E22-3A07-3F9D-F494-2CFD00B44E3A, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 3, 396, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348458829, 0, 0, NULL
4681, 2, 1653348461, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, D97F48DE-36F1-28B1-AA92-3264DD45EC69, NULL, NULL, NULL, 1, 1, 1, 0, 4, 1, 398, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348460848, 0, 0, NULL
4682, 2, 1653348525, FB619723-DD6A-6CFE-12B6-4ACDEFEB1EA4, 202207, 1, 2, 96EEF45A-0386-4CDB-9DD7-2C2BCEA4FCFA, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 4, AE251F0E-A086-5C1B-8F43-AF899B11CE27, 1653348524870, 0, 0, NULL
4683, 2, 1653348623, FB619723-DD6A-6CFE-12B6-4ACDEFEB1EA4, 202207, 1, 2, 96EEF45A-0386-4CDB-9DD7-2C2BCEA4FCFA, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 77, 80, AE251F0E-A086-5C1B-8F43-AF899B11CE27, 1653348622212, 0, 0, NULL
4684, 2, 1653348726, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, D97F48DE-36F1-28B1-AA92-3264DD45EC69, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 103, 500, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348724789, 0, 0, NULL
4685, 2, 1653348739, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 104, 502, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348738757, 0, 0, NULL
4686, 1, 1653348741, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, A3F85487-2C71-99C5-53AE-F6CDED091289, NULL, NULL, NULL, 1, 1, 1, 0, 5, 1, 504, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348740553, 0, 0, NULL
4687, 1, 1653348745, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, A3F85487-2C71-99C5-53AE-F6CDED091289, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 506, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348744080, 0, 0, NULL
4688, 2, 1653348746, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 0FA7F246-4852-F048-CF36-35D7A24CACF2, NULL, NULL, NULL, 1, 1, 1, 0, 6, 1, 508, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348745839, 0, 0, NULL
4689, 2, 1653348941, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 0FA7F246-4852-F048-CF36-35D7A24CACF2, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 96, 603, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348940687, 0, 0, NULL
4690, 2, 1653348973, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 97, 605, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348972642, 0, 0, NULL
4691, 3, 1653348977, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, E9BF6CAC-77B3-91B2-1DED-9ED1875C04DB, NULL, NULL, NULL, 1, 1, 1, 0, 7, 1, 607, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348976517, 0, 0, NULL
4692, 3, 1653348981, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, E9BF6CAC-77B3-91B2-1DED-9ED1875C04DB, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 609, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348980135, 0, 0, NULL
4693, 1, 1653348982, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 83B1C518-9178-6441-1868-C9675EBA69B0, NULL, NULL, NULL, 1, 1, 1, 0, 8, 1, 611, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653348981294, 0, 0, NULL
4694, 2, 1653350629, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 202207, 1, 2, 37F4E97C-35A0-65C7-7A47-FA7FDC3BDF8B, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 4, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1653350629092, 0, 0, NULL
4695, 2, 1653350713, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 202207, 1, 2, 37F4E97C-35A0-65C7-7A47-FA7FDC3BDF8B, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 103, 106, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1653350712420, 0, 0, NULL
4696, 2, 1653350718, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 104, 108, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1653350717552, 0, 0, NULL
4697, 3, 1653350722, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 202207, 1, 2, 3DCAD0BF-4C80-C948-754B-B25C77A61863, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 110, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1653350721942, 0, 0, NULL
4698, 3, 1653350727, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 202207, 1, 2, 3DCAD0BF-4C80-C948-754B-B25C77A61863, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 112, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1653350727176, 0, 0, NULL
4699, 1, 1653350729, C20EBF01-C226-51AF-ABBB-E1038B576EC9, 202207, 1, 2, EA505BA5-C9C5-85D0-9A6F-3D906D9A2FA3, NULL, NULL, NULL, 1, 1, 1, 0, 3, 1, 114, 11B5FDF7-E664-D11A-40D8-11CE7A19AD61, 1653350728550, 0, 0, NULL
4700, 1, 1653350900, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, 83B1C518-9178-6441-1868-C9675EBA69B0, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 613, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653350899493, 0, 0, NULL
4701, 2, 1653350904, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, D0227733-70EE-E719-7E0F-0A463E1B69C4, NULL, NULL, NULL, 1, 1, 1, 0, 9, 1, 615, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653350903744, 0, 0, NULL
4702, 1, 1653351535, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 202207, 1, 2, 32E8EA91-8514-0C32-A1BC-65773FD9905B, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 4, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 1653351534301, 0, 0, NULL
4703, 1, 1653351539, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 202207, 1, 2, 32E8EA91-8514-0C32-A1BC-65773FD9905B, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 6, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 1653351538561, 0, 0, NULL
4704, 1, 1653351541, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 202207, 1, 2, 9E3D18DE-4660-9743-E51C-ACB742CF1360, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 8, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 1653351540631, 0, 0, NULL
4705, 1, 1653351608, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 202207, 1, 2, 9E3D18DE-4660-9743-E51C-ACB742CF1360, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 73, 80, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 1653351607101, 0, 0, NULL
4706, 1, 1653351665, B946F118-ED3A-6369-5D11-6F69F0AFD2DC, 202207, 1, 2, NULL, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 169, 176, B0D3B482-6C1B-D51F-24AE-9DE7E94CEA7B, 1653351664578, 0, 0, NULL
4707, 2, 1653351730, E0E40695-B927-7E6C-453F-BED0BD053637, 202207, 1, 2, D0227733-70EE-E719-7E0F-0A463E1B69C4, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 45, 660, BC4C6E74-9AAE-0977-73D2-F37E9505594C, 1653351729123, 0, 0, NULL
4708, 1, 1653351885, 9429EF04-5580-8569-64F7-586CDE4332BE, 202207, 1, 2, F35E9A21-7982-918C-06F8-63B5BF86955D, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 220, 756227CE-0F87-202A-EA4B-40CC07E69D50, 1653351885258, 0, 0, NULL
4709, 1, 1653352007, 9429EF04-5580-8569-64F7-586CDE4332BE, 202207, 1, 2, F35E9A21-7982-918C-06F8-63B5BF86955D, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 77, 296, 756227CE-0F87-202A-EA4B-40CC07E69D50, 1653352006900, 0, 0, NULL
4710, 1, 1653352084, 9429EF04-5580-8569-64F7-586CDE4332BE, 202207, 1, 2, NULL, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 135, 354, 756227CE-0F87-202A-EA4B-40CC07E69D50, 1653352084348, 0, 0, NULL
4711, 1, 1653352916, F0AEE323-4D70-580E-0F55-CFF300D257F7, 202207, 1, 2, 039F2DC8-1FF8-8DEF-BC91-071F711FE208, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 228, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653352912821, 0, 0, NULL
4712, 1, 1653352929, F0AEE323-4D70-580E-0F55-CFF300D257F7, 202207, 1, 2, 039F2DC8-1FF8-8DEF-BC91-071F711FE208, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 3, 231, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653352925635, 0, 0, NULL
4713, 1, 1653352932, F0AEE323-4D70-580E-0F55-CFF300D257F7, 202207, 1, 2, B813B768-48DC-12E8-F753-E21155576BBE, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 233, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653352928449, 0, 0, NULL
4714, 1, 1653353142, F0AEE323-4D70-580E-0F55-CFF300D257F7, 202207, 1, 2, B813B768-48DC-12E8-F753-E21155576BBE, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 151, 383, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653353138413, 0, 0, NULL
4715, 1, 1653353236, F0AEE323-4D70-580E-0F55-CFF300D257F7, 202207, 1, 2, NULL, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 249, 481, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653353231449, 0, 0, NULL
4716, 1, 1653353283, F0AEE323-4D70-580E-0F55-CFF300D257F7, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 250, 483, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653353279581, 0, 0, NULL
4717, 3, 1653353286, F0AEE323-4D70-580E-0F55-CFF300D257F7, 202207, 1, 2, AE1FA429-7A14-A63B-BF84-7735EA1C0093, NULL, NULL, NULL, 1, 1, 1, 0, 3, 1, 485, E1950481-CED7-A7D5-FE22-D11C82793A02, 1653353283099, 0, 0, NULL
4787, 2, 1653537144, E67BBEED-149C-8307-6904-B59FAEB44E4F, 202207, 1, 2, 22BCF197-0A7A-B940-C237-8C16D1ABE140, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 326, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 1653537144437, 0, 0, NULL
4788, 2, 1653537184, E67BBEED-149C-8307-6904-B59FAEB44E4F, 202207, 1, 2, 22BCF197-0A7A-B940-C237-8C16D1ABE140, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 71, 396, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 1653537184709, 0, 0, NULL
4789, 2, 1653537186, E67BBEED-149C-8307-6904-B59FAEB44E4F, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 72, 398, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 1653537186341, 0, 0, NULL
4790, 2, 1653537188, E67BBEED-149C-8307-6904-B59FAEB44E4F, 202207, 1, 2, 56578710-C971-9E9C-0664-B3559368231E, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 400, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 1653537188797, 0, 0, NULL
4791, 2, 1653537325, E67BBEED-149C-8307-6904-B59FAEB44E4F, 202207, 1, 2, 56578710-C971-9E9C-0664-B3559368231E, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 153, 552, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 1653537325343, 0, 0, NULL
4792, 2, 1653537327, E67BBEED-149C-8307-6904-B59FAEB44E4F, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 154, 554, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 1653537327142, 0, 0, NULL
4793, 2, 1653537329, E67BBEED-149C-8307-6904-B59FAEB44E4F, 202207, 1, 2, 648A31EB-82AD-1ABC-7639-FF77F983ED1C, NULL, NULL, NULL, 1, 1, 1, 0, 3, 1, 556, 5F731EA9-5265-A883-4A54-E19AC573FCE6, 1653537329574, 0, 0, NULL
