log_no_quest_id, gid, cid, log_ts, aid, a_detail, uid, vid, sessionid, session_seqid, client_ts, multiplayer_uid, multiplayer_seqid
1793, 202207, 3, 1654335263, 2, {"version":"A"}, 2750C351-3E2E-C33A-7348-1E5FB8798F86, 1, 2494561A-C29E-5BA5-BA54-3CC5597C0FA7, 646, 1654335263422, NULL, 0
1794, 202207, 3, 1654364511, 3, {"version":"A"}, BAB22DA1-A185-B895-057A-C52E7719C98B, 1, A4F20770-AED1-087B-2117-544BDD0C3E94, 1, 1654364511072, NULL, 0
1795, 202207, 3, 1654364954, 3, {"version":"A"}, 08D78011-F694-B41E-8640-75DD787B30C1, 1, 1DBA4690-4B26-6F1E-9479-13B6712DB633, 750, 1654364954582, NULL, 0
1796, 202207, 3, 1654421709, 5, {"version":"B"}, 93ED79C2-E409-F4B7-DEFA-FF720175EED3, 1, 4B1D3E66-A441-35A5-9CAB-A7DFA246D474, 1005, 1654421707615, NULL, 0
1797, 202207, 3, 1654421710, 3, {"version":"B"}, 93ED79C2-E409-F4B7-DEFA-FF720175EED3, 1, 4B1D3E66-A441-35A5-9CAB-A7DFA246D474, 1007, 1654421709398, NULL, 0
1798, 202207, 3, 1654421712, 4, {"version":"B"}, 93ED79C2-E409-F4B7-DEFA-FF720175EED3, 1, 4B1D3E66-A441-35A5-9CAB-A7DFA246D474, 1008, 1654421711151, NULL, 0
1799, 202207, 3, 1654441885, 2, [], 85d6015f-38e1-5672-f1dc-4b523586c6a2, 1, E4B354EB-A1EC-66B2-F884-92F81F763415, 1, 1654441885064, NULL, 0
1800, 202207, 3, 1654463616, 2, {"version":"B"}, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 209F2B47-16CA-519D-FAD9-80AC90D0C740, 1, 1654463616504, NULL, 0
1801, 202207, 3, 1654463732, 5, {"version":"B"}, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 209F2B47-16CA-519D-FAD9-80AC90D0C740, 204, 1654463731998, NULL, 0
1802, 202207, 3, 1654463733, 3, {"version":"B"}, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 209F2B47-16CA-519D-FAD9-80AC90D0C740, 206, 1654463732997, NULL, 0
1803, 202207, 3, 1654482424, 3, {"version":"A"}, 21865BA9-B9CC-8B81-364C-D002675C4428, 1, 41BDCA93-FFD9-13E7-FE77-1CA5FE53F3E3, 1, 1654482424434, NULL, 0
1866, 202207, 3, 1654493839, 5, {"version":"A"}, CB39812A-7D3F-B1B7-5551-494C147AC5B9, 1, 0A1CDDF2-E438-FCEA-7B74-AA348BEAEE66, 1, 1654493838251, NULL, 0
1867, 202207, 3, 1654493839, 2, {"version":"A"}, CB39812A-7D3F-B1B7-5551-494C147AC5B9, 1, 0A1CDDF2-E438-FCEA-7B74-AA348BEAEE66, 3, 1654493839232, NULL, 0
2005, 202207, 3, 1654519473, 5, {"version":"A"}, 624DA9BE-F076-EB3E-45CF-967DCB250AFB, 1, 21628C25-5FFF-314C-A47E-622B89AA256E, 1, 1654519470209, NULL, 0
