log_pl_id, uid, eid, log_ts, gid, cid, vid, client_ip, pl_detail, cd_id, sessionid, client_ts, host_domain, referrer_host, referrer_path, multiplayer_seqid
1139, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654191479, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, D4F7B911-B5B3-588A-B6F5-A2E168BA6EE4, 1654193996167, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1140, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654191523, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 2CB3C04A-4D8A-4198-5048-87A7A9AEFE71, 1654194040471, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1141, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654192603, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 8B59808D-8519-FA2B-75FD-3B2DACF7666E, 1654195120283, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1142, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 0, 1654192795, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.64"}, 0, D108992D-3F2A-C7D6-B08B-5454307CD2C0, 1654195311457, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1143, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 0, 1654192818, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.64"}, 0, 0F4054B2-0BD1-0040-2A26-57D0F1A0ACEC, 1654195334748, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1145, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 0, 1654192844, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.64"}, 0, C3644438-A0DD-7B80-B4BA-6B072C4195CE, 1654195360760, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1146, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 0, 1654192853, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.64"}, 0, 0D1D4585-2DA2-D720-B8C4-1FFFC2015205, 1654195370512, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1147, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654192904, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 9547BE94-EB3E-A96B-B1AF-76DF407F5AFB, 1654195421251, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1148, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654192917, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 2DFB1725-4D7D-251C-5906-F070B02BE86D, 1654195434843, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1150, BAB22DA1-A185-B895-057A-C52E7719C98B, 0, 1654193027, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit\/605.1.15 (KHTML, like Gecko) Version\/13.1.2 Safari\/605.1.15"}, 0, 6B1BFCC6-282A-41A2-E2F9-999449163A87, 1654195541995, NULL, v6p9d9t4.ssl.hwcdn.net, /html/5908065/bin/index.html, 0
1151, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 0, 1654193186, 202207, 3, 1, 205.175.106.192, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36"}, 0, F8009FC5-B082-96E8-51E5-DE43AF449926, 1654195702426, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1152, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654193211, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, DD2BD868-69ED-DDD3-BC1B-4875B3290867, 1654195728551, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1153, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 0, 1654193213, 202207, 3, 1, 205.175.106.192, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36"}, 0, 8D6D478A-38AA-79F5-066B-6231C909F95E, 1654195729857, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1156, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 0, 1654193456, 202207, 3, 1, 205.175.106.192, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36"}, 0, 6C1C673D-9EB7-3BE4-A269-772D726ABC3B, 1654195972506, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1158, 0D02BA74-DC22-33EF-4AE9-B10BE230E7C3, 0, 1654193588, 202207, 3, 1, 205.175.106.159, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/605.1.15 (KHTML, like Gecko) Version\/15.4 Safari\/605.1.15"}, 0, 8F3A0611-01D6-0566-1848-BE3B1DA747CA, 1654196104207, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1159, 05F620B6-3DFA-1A7C-5814-E492904A32DC, 0, 1654193598, 202207, 3, 1, 205.175.106.159, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36"}, 0, C04C45B7-0222-07C2-B427-15D4716B9061, 1654196114774, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1162, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654193800, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 355758CF-337F-3A15-F1E6-812E2B347C94, 1654196317512, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1164, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654193814, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 75A9417E-187D-A8C0-0A19-453445B2FE20, 1654196331402, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1165, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654193942, 202207, 3, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 7B23849C-D59E-2922-094E-599B84133BE4, 1654196459043, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
