log_q_id, qid, log_q_ts, uid, gid, vid, cid, dqid, parent_dqid, q_detail, ae_seq_id, q_s_id, g_s_id, tid, cd_id, quest_seqid, qaction_seqid, session_seqid, sessionid, client_ts, foreign_game_id, multiplayer_seqid, quest_hash
5277, 1, 1654195321, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 202207, 1, 3, ED4AD09B-AAD0-C308-8CEE-102656BFB8D2, NULL, [], NULL, 1, 1, 1, 0, 1, 1, 2, D108992D-3F2A-C7D6-B08B-5454307CD2C0, 1654195321265, 0, 0, NULL
5278, 1, 1654195336, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 202207, 1, 3, 66E6E2F3-1903-2F77-C1D9-B15102033A2B, NULL, {"version":"B"}, NULL, 1, 1, 1, 0, 1, 1, 2, 0F4054B2-0BD1-0040-2A26-57D0F1A0ACEC, 1654195336317, 0, 0, NULL
5279, 1, 1654195363, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 202207, 1, 3, 74FA9F3C-858D-A1B7-6B26-0F098313742F, NULL, {"version":"B"}, NULL, 1, 1, 1, 0, 1, 1, 2, C3644438-A0DD-7B80-B4BA-6B072C4195CE, 1654195363199, 0, 0, NULL
5280, 1, 1654195374, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 202207, 1, 3, 97BA2220-59AF-1A49-F33E-84FA05390D28, NULL, {"version":"B"}, NULL, 1, 1, 1, 0, 1, 1, 2, 0D1D4585-2DA2-D720-B8C4-1FFFC2015205, 1654195374730, 0, 0, NULL
5281, 1, 1654195421, 29849400-1CF5-0A03-8294-442AB19E8EE6, 202207, 1, 3, DBC45196-D274-5179-EF46-0DD6A12DCC17, NULL, [], NULL, 1, 1, 1, 0, 1, 1, 2, 9547BE94-EB3E-A96B-B1AF-76DF407F5AFB, 1654195421882, 0, 0, NULL
5282, 1, 1654195436, 29849400-1CF5-0A03-8294-442AB19E8EE6, 202207, 1, 3, 970BBA84-42AF-095C-5DCE-A555E220CE61, NULL, {"version":"B"}, NULL, 1, 1, 1, 0, 1, 1, 2, 2DFB1725-4D7D-251C-5906-F070B02BE86D, 1654195437083, 0, 0, NULL
5284, 1, 1654195546, BAB22DA1-A185-B895-057A-C52E7719C98B, 202207, 1, 3, 4CAAE364-FC6D-417D-280C-61C0360F0061, NULL, [], NULL, 1, 1, 1, 0, 1, 1, 2, 6B1BFCC6-282A-41A2-E2F9-999449163A87, 1654195544093, 0, 0, NULL
5285, 1, 1654195704, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 202207, 1, 3, 920B8947-E26A-3423-D3EA-5C7179BD6639, NULL, [], NULL, 1, 1, 1, 0, 1, 1, 2, F8009FC5-B082-96E8-51E5-DE43AF449926, 1654195704196, 0, 0, NULL
5286, 1, 1654195730, 29849400-1CF5-0A03-8294-442AB19E8EE6, 202207, 1, 3, 153E477B-35C3-1099-3277-0EDA0AD6A5BA, NULL, [], NULL, 1, 1, 1, 0, 1, 1, 2, DD2BD868-69ED-DDD3-BC1B-4875B3290867, 1654195730761, 0, 0, NULL
5287, 1, 1654195732, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 202207, 1, 3, AEF6008D-4369-6908-6CB4-6CDA18B24CF9, NULL, [], NULL, 1, 1, 1, 0, 1, 1, 2, 8D6D478A-38AA-79F5-066B-6231C909F95E, 1654195732279, 0, 0, NULL
