log_no_quest_id, gid, cid, log_ts, aid, a_detail, uid, vid, sessionid, session_seqid, client_ts, multiplayer_uid, multiplayer_seqid
2038, 202207, 4, 1654531421, 3, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 7AB62176-B557-5CF6-7CCE-915481D203C8, 1, 1654531421883, NULL, 0
2039, 202207, 4, 1654531428, 5, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 7AB62176-B557-5CF6-7CCE-915481D203C8, 3, 1654531429715, NULL, 0
2040, 202207, 4, 1654531581, 3, {"version":"B"}, 864B2EC6-AE0A-407B-9B79-2237B457563A, 1, 469F5C19-01BF-E875-4148-977C7FA55D69, 1, 1654531582581, NULL, 0
2041, 202207, 4, 1654531939, 2, {"version":"A"}, 2E6174C3-DB3F-F02E-A048-B6FCAF5B94CD, 1, FF614AC9-2C67-EB30-05E7-308F8D9A6331, 1, 1654531938329, NULL, 0
2042, 202207, 4, 1654533340, 3, {"version":"B"}, 864B2EC6-AE0A-407B-9B79-2237B457563A, 1, 85BA9CE7-B968-318B-B499-94EC8570806C, 1, 1654533340959, NULL, 0
2043, 202207, 4, 1654533676, 2, {"version":"A"}, 173E0E2E-D75F-12C1-1BBE-EA06712D8E29, 1, 048410E0-F2A2-8D2B-9C2B-D3C1DA4F2EE9, 1, 1654533677301, NULL, 0
2044, 202207, 4, 1654537723, 2, {"version":"B"}, 8947BF19-7AC6-96AA-FD40-010AAE8A110B, 1, 24F690F0-7B41-9A42-F527-B6CA7EBFA852, 1, 1654537721722, NULL, 0
2045, 202207, 4, 1654539096, 2, {"version":"B"}, D13863FE-D95C-50B1-22DB-76E8D6AF78C2, 1, E8EFB93F-DF8B-92A7-4CB1-530FAF1174E2, 1, 1654539096015, NULL, 0
2046, 202207, 4, 1654540823, 3, {"version":"A"}, 10AED1FD-7D7D-D797-AB8D-C5AC0BDB87EA, 1, 7085D1DA-C20D-D78B-7EAC-6F6880167450, 1, 1654548034304, NULL, 0
2047, 202207, 4, 1654540825, 4, {"version":"A"}, 10AED1FD-7D7D-D797-AB8D-C5AC0BDB87EA, 1, 7085D1DA-C20D-D78B-7EAC-6F6880167450, 2, 1654548036107, NULL, 0
2048, 202207, 4, 1654540826, 2, {"version":"A"}, 10AED1FD-7D7D-D797-AB8D-C5AC0BDB87EA, 1, 7085D1DA-C20D-D78B-7EAC-6F6880167450, 3, 1654548036904, NULL, 0
2049, 202207, 4, 1654540913, 5, {"version":"A"}, 10AED1FD-7D7D-D797-AB8D-C5AC0BDB87EA, 1, 7085D1DA-C20D-D78B-7EAC-6F6880167450, 93, 1654548124379, NULL, 0
2050, 202207, 4, 1654540915, 2, {"version":"A"}, 10AED1FD-7D7D-D797-AB8D-C5AC0BDB87EA, 1, 7085D1DA-C20D-D78B-7EAC-6F6880167450, 95, 1654548126934, NULL, 0
2051, 202207, 4, 1654540926, 2, {"version":"A"}, 10AED1FD-7D7D-D797-AB8D-C5AC0BDB87EA, 1, 2E2813DA-0DB2-BFE5-750A-118D68D1B73A, 1, 1654548137357, NULL, 0
2052, 202207, 4, 1654540952, 2, {"version":"B"}, AAFAC827-8C35-9A6E-731D-1267D76D8970, 1, 77204890-AF3C-3BD3-609C-542FAD32B0A6, 1, 1654540951444, NULL, 0
