log_pl_id, uid, eid, log_ts, gid, cid, vid, client_ip, pl_detail, cd_id, sessionid, client_ts, host_domain, referrer_host, referrer_path, multiplayer_seqid
1368, 29849400-1CF5-0A03-8294-442AB19E8EE6, 0, 1654528884, 202207, 4, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 7AB62176-B557-5CF6-7CCE-915481D203C8, 1654531420574, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
1369, 864B2EC6-AE0A-407B-9B79-2237B457563A, 0, 1654529044, 202207, 4, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 469F5C19-01BF-E875-4148-977C7FA55D69, 1654531580476, NULL, uploads.ungrounded.net, /, 0
1370, 2E6174C3-DB3F-F02E-A048-B6FCAF5B94CD, 0, 1654529401, 202207, 4, 1, 76.219.167.159, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/102.0.5005.63 Safari\/537.36 Edg\/102.0.1245.33"}, 0, FF614AC9-2C67-EB30-05E7-308F8D9A6331, 1654531935821, NULL, uploads.ungrounded.net, /, 0
1371, 864B2EC6-AE0A-407B-9B79-2237B457563A, 0, 1654530630, 202207, 4, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 14877207-7F2B-B632-5E76-647B040BF465, 1654533166960, NULL, uploads.ungrounded.net, /, 0
1372, 864B2EC6-AE0A-407B-9B79-2237B457563A, 0, 1654530802, 202207, 4, 1, 73.109.244.225, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36 OPR\/86.0.4363.70"}, 0, 85BA9CE7-B968-318B-B499-94EC8570806C, 1654533339105, NULL, uploads.ungrounded.net, /, 0
1373, 173E0E2E-D75F-12C1-1BBE-EA06712D8E29, 0, 1654531139, 202207, 4, 1, 86.23.162.255, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/102.0.0.0 Safari\/537.36"}, 0, 048410E0-F2A2-8D2B-9C2B-D3C1DA4F2EE9, 1654533675611, NULL, uploads.ungrounded.net, /, 0
1374, E36480AC-267D-E588-07DE-2D17C670E46B, 0, 1654531279, 202207, 4, 1, 98.121.240.64, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/102.0.0.0 Safari\/537.36"}, 0, CD4DCF42-2831-A1A4-F4D0-47BB30C25788, 1654533815699, NULL, uploads.ungrounded.net, /, 0
1375, 01C9B411-3E08-E980-F419-5EC03CBEBE57, 0, 1654531925, 202207, 4, 1, 212.112.135.12, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/102.0.5005.63 Safari\/537.36"}, 0, 65A593C4-0E1F-BA24-C25D-16365186DEAE, 1654534461522, NULL, uploads.ungrounded.net, /, 0
1376, 49A997E3-A808-6EF0-5AB1-D2CE60A0D223, 0, 1654532238, 202207, 4, 1, 102.165.16.152, {"user_agent":"Mozilla\/5.0 (X11; Linux x86_64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/102.0.5005.61 Safari\/537.36"}, 0, 2F45DE31-8565-ECAF-25B0-2278A63FF6A4, 1654534774757, NULL, uploads.ungrounded.net, /, 0
1377, 22FE1083-8643-FE1C-3212-4263ACCFA8E4, 0, 1654532906, 202207, 4, 1, 47.224.16.146, {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/100.0.4896.127 Safari\/537.36"}, 0, E4AEDC92-B5A1-F07A-00DD-4FA5C7A400CE, 1654535442341, NULL, uploads.ungrounded.net, /, 0
