log_q_id, qid, log_q_ts, uid, gid, vid, cid, dqid, parent_dqid, q_detail, ae_seq_id, q_s_id, g_s_id, tid, cd_id, quest_seqid, qaction_seqid, session_seqid, sessionid, client_ts, foreign_game_id, multiplayer_seqid, quest_hash
5767, 1, 1654531426, 29849400-1CF5-0A03-8294-442AB19E8EE6, 202207, 1, 4, B2DE62D6-FE87-3AA0-6B8F-64FF623BF885, NULL, {"version":"A"}, NULL, 1, 1, 1, 0, 1, 1, 2, 7AB62176-B557-5CF6-7CCE-915481D203C8, 1654531427370, 0, 0, NULL
5768, 1, 1654531429, 29849400-1CF5-0A03-8294-442AB19E8EE6, 202207, 1, 4, B2DE62D6-FE87-3AA0-6B8F-64FF623BF885, NULL, {"won":false "version":"A"}, NULL, 0, 1, 1, 0, 0, 2, 4, 7AB62176-B557-5CF6-7CCE-915481D203C8, 1654531429716, 0, 0, NULL
5769, 1, 1654531939, 2E6174C3-DB3F-F02E-A048-B6FCAF5B94CD, 202207, 1, 4, C93B772C-639A-DA20-A8EC-8D30B1E9E7C0, NULL, {"version":"A"}, NULL, 1, 1, 1, 0, 1, 1, 2, FF614AC9-2C67-EB30-05E7-308F8D9A6331, 1654531938351, 0, 0, NULL
5770, 1, 1654532015, 2E6174C3-DB3F-F02E-A048-B6FCAF5B94CD, 202207, 1, 4, C93B772C-639A-DA20-A8EC-8D30B1E9E7C0, NULL, {"won":true "version":"A"}, NULL, 0, 1, 1, 0, 0, 88, 89, FF614AC9-2C67-EB30-05E7-308F8D9A6331, 1654532014550, 0, 0, NULL
5771, 2, 1654532016, 2E6174C3-DB3F-F02E-A048-B6FCAF5B94CD, 202207, 1, 4, 2729F732-4F5C-F71E-F775-23E8F12D5BCA, NULL, {"version":"A"}, NULL, 1, 1, 1, 0, 2, 1, 90, FF614AC9-2C67-EB30-05E7-308F8D9A6331, 1654532015351, 0, 0, NULL
5772, 2, 1654532024, 2E6174C3-DB3F-F02E-A048-B6FCAF5B94CD, 202207, 1, 4, 2729F732-4F5C-F71E-F775-23E8F12D5BCA, NULL, {"won":true "version":"A"}, NULL, 0, 1, 1, 0, 0, 31, 120, FF614AC9-2C67-EB30-05E7-308F8D9A6331, 1654532023822, 0, 0, NULL
5773, 3, 1654532025, 2E6174C3-DB3F-F02E-A048-B6FCAF5B94CD, 202207, 1, 4, 21CEAFFD-F1DC-A34E-3A62-A28F0642B3F6, NULL, {"version":"A"}, NULL, 1, 1, 1, 0, 3, 1, 121, FF614AC9-2C67-EB30-05E7-308F8D9A6331, 1654532024542, 0, 0, NULL
5774, 1, 1654533676, 173E0E2E-D75F-12C1-1BBE-EA06712D8E29, 202207, 1, 4, 4784517E-7483-263C-0FEB-0A275C00A1F9, NULL, {"version":"A"}, NULL, 1, 1, 1, 0, 1, 1, 2, 048410E0-F2A2-8D2B-9C2B-D3C1DA4F2EE9, 1654533677310, 0, 0, NULL
5775, 1, 1654533815, E36480AC-267D-E588-07DE-2D17C670E46B, 202207, 1, 4, FEFB12A8-3D96-F96B-9C41-77404059E4AB, NULL, [], NULL, 1, 1, 1, 0, 1, 1, 1, CD4DCF42-2831-A1A4-F4D0-47BB30C25788, 1654533816087, 0, 0, NULL
5776, 1, 1654533906, E36480AC-267D-E588-07DE-2D17C670E46B, 202207, 1, 4, FEFB12A8-3D96-F96B-9C41-77404059E4AB, NULL, {"won":true "version":"A"}, NULL, 0, 1, 1, 0, 0, 89, 89, CD4DCF42-2831-A1A4-F4D0-47BB30C25788, 1654533906367, 0, 0, NULL
